book,book_full,category,chapter,clause_idx,sent_id,strategy,orig_pj,orig_std,stripped_pj,stripped_std,delta_pj,flipped,fully_editorial,n_orig,n_stripped,n_remaining,strip_ratio,categories_hit,orig_text,stripped_text,tokens_removed,robustness,random_flip_count,p_value
John,John,Gospel,4,160,John.4.21,christological,0.6480,0.1016,,,,False,True,5,1,4,0.2000,christological,λέγει οὖν αὐτοῖς ⸀ὁ Ἰησοῦς·,λέγει οὖν αὐτοῖς ⸀ὁ,Ἰησοῦς·,,,
John,John,Gospel,4,170,John.4.3,all,0.5399,0.2045,,,,False,True,5,1,4,0.2000,christological,⸀ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῷ·,⸀ἀπεκρίθη καὶ εἶπεν αὐτῷ·,Ἰησοῦς,,,
John,John,Gospel,4,170,John.4.3,christological,0.5399,0.2045,,,,False,True,5,1,4,0.2000,christological,⸀ἀπεκρίθη Ἰησοῦς καὶ εἶπεν αὐτῷ·,⸀ἀπεκρίθη καὶ εἶπεν αὐτῷ·,Ἰησοῦς,,,
John,John,Gospel,4,175,John.4.3,all,0.5318,0.0783,,,,False,True,22,1,21,0.0455,christological,"⸀ἀπεκρίθη Ἰησοῦς· Ἀμὴν ἀμὴν λέγω σοι, ἐὰν μή τις γεννηθῇ ἐξ ὕδατος καὶ πνεύματος, οὐ δύναται εἰσελθεῖν εἰς τὴν βασιλείαν τοῦ θεοῦ.","⸀ἀπεκρίθη Ἀμὴν ἀμὴν λέγω σοι, ἐὰν μή τις γεννηθῇ ἐξ ὕδατος καὶ πνεύματος, οὐ δύναται εἰσελθεῖν εἰς τὴν βασιλείαν τοῦ θεοῦ.",Ἰησοῦς·,,,
John,John,Gospel,4,175,John.4.3,christological,0.5318,0.0783,,,,False,True,22,1,21,0.0455,christological,"⸀ἀπεκρίθη Ἰησοῦς· Ἀμὴν ἀμὴν λέγω σοι, ἐὰν μή τις γεννηθῇ ἐξ ὕδατος καὶ πνεύματος, οὐ δύναται εἰσελθεῖν εἰς τὴν βασιλείαν τοῦ θεοῦ.","⸀ἀπεκρίθη Ἀμὴν ἀμὴν λέγω σοι, ἐὰν μή τις γεννηθῇ ἐξ ὕδατος καὶ πνεύματος, οὐ δύναται εἰσελθεῖν εἰς τὴν βασιλείαν τοῦ θεοῦ.",Ἰησοῦς·,,,
John,John,Gospel,4,178,John.4.4,all,0.5759,0.1188,0.3616,0.1101,0.2143,True,False,36,4,32,0.1111,christological,Ὡς οὖν ἔγνω ὁ ⸀Ἰησοῦς ὅτι ἤκουσαν οἱ Φαρισαῖοι ὅτι Ἰησοῦς πλείονας μαθητὰς ποιεῖ καὶ βαπτίζει ἢ Ἰωάννης— καίτοιγε Ἰησοῦς αὐτὸς οὐκ ἐβάπτιζεν ἀλλ’ οἱ μαθηταὶ αὐτοῦ— ἀφῆκεν τὴν Ἰουδαίαν καὶ ἀπῆλθεν ⸀πάλιν εἰς τὴν Γαλιλαίαν.,Ὡς οὖν ἔγνω ὁ ὅτι ἤκουσαν οἱ Φαρισαῖοι ὅτι πλείονας μαθητὰς ποιεῖ καὶ βαπτίζει ἢ Ἰωάννης— καίτοιγε οὐκ ἐβάπτιζεν ἀλλ’ οἱ μαθηταὶ αὐτοῦ— ἀφῆκεν τὴν Ἰουδαίαν καὶ ἀπῆλθεν ⸀πάλιν εἰς τὴν Γαλιλαίαν.,⸀Ἰησοῦς|Ἰησοῦς|Ἰησοῦς|αὐτὸς,FRAGILE,89,0.8910891089108911
John,John,Gospel,4,178,John.4.4,christological,0.5759,0.1188,0.3616,0.1101,0.2143,True,False,36,4,32,0.1111,christological,Ὡς οὖν ἔγνω ὁ ⸀Ἰησοῦς ὅτι ἤκουσαν οἱ Φαρισαῖοι ὅτι Ἰησοῦς πλείονας μαθητὰς ποιεῖ καὶ βαπτίζει ἢ Ἰωάννης— καίτοιγε Ἰησοῦς αὐτὸς οὐκ ἐβάπτιζεν ἀλλ’ οἱ μαθηταὶ αὐτοῦ— ἀφῆκεν τὴν Ἰουδαίαν καὶ ἀπῆλθεν ⸀πάλιν εἰς τὴν Γαλιλαίαν.,Ὡς οὖν ἔγνω ὁ ὅτι ἤκουσαν οἱ Φαρισαῖοι ὅτι πλείονας μαθητὰς ποιεῖ καὶ βαπτίζει ἢ Ἰωάννης— καίτοιγε οὐκ ἐβάπτιζεν ἀλλ’ οἱ μαθηταὶ αὐτοῦ— ἀφῆκεν τὴν Ἰουδαίαν καὶ ἀπῆλθεν ⸀πάλιν εἰς τὴν Γαλιλαίαν.,⸀Ἰησοῦς|Ἰησοῦς|Ἰησοῦς|αὐτὸς,,,
John,John,Gospel,4,180,John.4.4,all,0.5262,0.1628,0.6178,0.1350,-0.0916,False,False,19,1,18,0.0526,patriarchal,ἔρχεται οὖν εἰς πόλιν τῆς Σαμαρείας λεγομένην Συχὰρ πλησίον τοῦ χωρίου ὃ ἔδωκεν Ἰακὼβ ⸀τῷ Ἰωσὴφ τῷ υἱῷ αὐτοῦ·,ἔρχεται οὖν εἰς πόλιν τῆς Σαμαρείας λεγομένην Συχὰρ πλησίον τοῦ χωρίου ὃ ἔδωκεν ⸀τῷ Ἰωσὴφ τῷ υἱῷ αὐτοῦ·,Ἰακὼβ,,,
John,John,Gospel,4,180,John.4.4,patriarchal,0.5262,0.1628,0.6178,0.1350,-0.0916,False,False,19,1,18,0.0526,patriarchal,ἔρχεται οὖν εἰς πόλιν τῆς Σαμαρείας λεγομένην Συχὰρ πλησίον τοῦ χωρίου ὃ ἔδωκεν Ἰακὼβ ⸀τῷ Ἰωσὴφ τῷ υἱῷ αὐτοῦ·,ἔρχεται οὖν εἰς πόλιν τῆς Σαμαρείας λεγομένην Συχὰρ πλησίον τοῦ χωρίου ὃ ἔδωκεν ⸀τῷ Ἰωσὴφ τῷ υἱῷ αὐτοῦ·,Ἰακὼβ,,,
John,John,Gospel,4,181,John.4.4,all,0.5921,0.0836,,,,False,True,6,2,4,0.3333,patriarchal,ἦν δὲ ἐκεῖ πηγὴ τοῦ Ἰακώβ.,ἦν δὲ ἐκεῖ πηγὴ,τοῦ|Ἰακώβ.,,,
