CHAPTER-LEVEL HEATMAP (Mean P(Jewish) | Uncertainty)
    Ch 11 [███████████████████████░░░░░░░] 0.788 +/-0.120 JEWISH
    Ch 12 [████████████████████████░░░░░░] 0.813 +/-0.113 JEWISH
    Ch 13 [███████████████████████░░░░░░░] 0.771 +/-0.113 JEWISH
    Ch 14 [████████████████████████░░░░░░] 0.807 +/-0.113 JEWISH
    Ch 15 [███████████████████████░░░░░░░] 0.791 +/-0.106 JEWISH
    Ch 16 [███████████████████████░░░░░░░] 0.778 +/-0.144 JEWISH
    Ch 17 [███████████████████████████░░░] 0.917 +/-0.072 JEWISH
    Ch 18 [████████████████████████░░░░░░] 0.814 +/-0.103 JEWISH
    Ch 19 [████████████████████████░░░░░░] 0.800 +/-0.115 JEWISH
    Ch 20 [████████████████████████░░░░░░] 0.816 +/-0.121 JEWISH
    Ch 21 [███████████████████████░░░░░░░] 0.791 +/-0.112 JEWISH

  Acts
    Ch  1 [█████████████████████████░░░░░] 0.852 +/-0.073 JEWISH
    Ch  2 [███████████████████████░░░░░░░] 0.796 +/-0.101 JEWISH
    Ch  3 [████████████████████████░░░░░░] 0.827 +/-0.091 JEWISH
    Ch  4 [████████████████████████░░░░░░] 0.817 +/-0.084 JEWISH
    Ch  5 [███████████████████████░░░░░░░] 0.784 +/-0.105 JEWISH
    Ch  6 [██████████████████████████░░░░] 0.875 +/-0.082 JEWISH
    Ch  7 [█████████████████████████░░░░░] 0.845 +/-0.078 JEWISH
    Ch  8 [█████████████████████████░░░░░] 0.857 +/-0.087 JEWISH
    Ch  9 [█████████████████████████░░░░░] 0.837 +/-0.089 JEWISH
    Ch 10 [████████████████████████░░░░░░] 0.816 +/-0.087 JEWISH
    Ch 11 [█████████████████████████░░░░░] 0.861 +/-0.081 JEWISH
    Ch 12 [████████████████████████░░░░░░] 0.812 +/-0.089 JEWISH
    Ch 13 [████████████████████████░░░░░░] 0.827 +/-0.100 JEWISH
    Ch 14 [████████████████████████░░░░░░] 0.831 +/-0.086 JEWISH
    Ch 15 [████████████████████████░░░░░░] 0.829 +/-0.105 JEWISH
    Ch 16 [████████████████████████░░░░░░] 0.812 +/-0.097 JEWISH
    Ch 17 [██████████████████████░░░░░░░░] 0.735 +/-0.111 JEWISH
    Ch 18 [████████████████████████░░░░░░] 0.824 +/-0.087 JEWISH
    Ch 19 [██████████████████████░░░░░░░░] 0.734 +/-0.113 JEWISH
    Ch 20 [█████████████████████████░░░░░] 0.838 +/-0.083 JEWISH
    Ch 21 [████████████████████████░░░░░░] 0.824 +/-0.087 JEWISH
    Ch 22 [████████████████████████░░░░░░] 0.806 +/-0.084 JEWISH
    Ch 23 [████████████████████████░░░░░░] 0.810 +/-0.104 JEWISH
    Ch 24 [███████████████████████░░░░░░░] 0.794 +/-0.101 JEWISH
    Ch 25 [██████████████████████░░░░░░░░] 0.752 +/-0.119 JEWISH
    Ch 26 [█████████████████████░░░░░░░░░] 0.722 +/-0.129 JEWISH
    Ch 27 [████████████████████████░░░░░░] 0.809 +/-0.106 JEWISH
    Ch 28 [████████████████████████░░░░░░] 0.817 +/-0.095 JEWISH

  Romans
    Ch  1 [███████████████████████░░░░░░░] 0.789 +/-0.113 JEWISH
    Ch  2 [█████████████████████░░░░░░░░░] 0.732 +/-0.106 JEWISH
    Ch  3 [█████████████████████░░░░░░░░░] 0.707 +/-0.113 JEWISH
    Ch  4 [████████████████████████░░░░░░] 0.829 +/-0.084 JEWISH
    Ch  5 [████████████████████████░░░░░░] 0.801 +/-0.066 JEWISH
    Ch  6 [████████████████████████░░░░░░] 0.804 +/-0.093 JEWISH
    Ch  7 [██████████████████████░░░░░░░░] 0.760 +/-0.106 JEWISH
    Ch  8 [████████████████████░░░░░░░░░░] 0.692 +/-0.135 JEWISH
    Ch  9 [██████████████████████░░░░░░░░] 0.738 +/-0.118 JEWISH
    Ch 10 [██████████████████████░░░░░░░░] 0.738 +/-0.106 JEWISH
    Ch 11 [██████████████████████░░░░░░░░] 0.745 +/-0.120 JEWISH
    Ch 12 [████████████████████░░░░░░░░░░] 0.690 +/-0.123 JEWISH
    Ch 13 [██████████████████░░░░░░░░░░░░] 0.632 +/-0.123 JEWISH
    Ch 14 [████████████████████░░░░░░░░░░] 0.696 +/-0.129 JEWISH
    Ch 15 [███████████████████████░░░░░░░] 0.784 +/-0.116 JEWISH
    Ch 16 [████████████████████████░░░░░░] 0.810 +/-0.104 JEWISH

  1 Corinthians
    Ch  1 [██████████████████████░░░░░░░░] 0.759 +/-0.113 JEWISH
    Ch  2 [████████████████████████░░░░░░] 0.809 +/-0.100 JEWISH
    Ch  3 [████████████████████░░░░░░░░░░] 0.682 +/-0.136 JEWISH
    Ch  4 [████████████████████░░░░░░░░░░] 0.678 +/-0.141 JEWISH
    Ch  5 [██████████████████░░░░░░░░░░░░] 0.625 +/-0.121 JEWISH
    Ch  6 [███████████████████░░░░░░░░░░░] 0.636 +/-0.133 JEWISH
    Ch  7 [█████████████████████░░░░░░░░░] 0.719 +/-0.120 JEWISH
    Ch  8 [██████████████████░░░░░░░░░░░░] 0.620 +/-0.131 JEWISH
    Ch  9 [██████████████████░░░░░░░░░░░░] 0.611 +/-0.136 JEWISH
    Ch 10 [███████████████████░░░░░░░░░░░] 0.647 +/-0.142 JEWISH
    Ch 11 [███████████████████░░░░░░░░░░░] 0.661 +/-0.127 JEWISH
    Ch 12 [████████████████░░░░░░░░░░░░░░] 0.558 +/-0.140 JEWISH
    Ch 13 [█████████████████░░░░░░░░░░░░░] 0.583 +/-0.166 JEWISH
    Ch 14 [█████████████████░░░░░░░░░░░░░] 0.589 +/-0.147 JEWISH
    Ch 15 [█████████████████████░░░░░░░░░] 0.707 +/-0.119 JEWISH
    Ch 16 [█████████████████████░░░░░░░░░] 0.728 +/-0.126 JEWISH

  2 Corinthians
    Ch  1 [████████████████████████░░░░░░] 0.818 +/-0.119 JEWISH
    Ch  2 [██████████████████████████░░░░] 0.874 +/-0.092 JEWISH
    Ch  3 [██████████████████████░░░░░░░░] 0.737 +/-0.102 JEWISH
    Ch  4 [█████████████████████████░░░░░] 0.836 +/-0.087 JEWISH
